LINKID,M0_19,M0_24,M0_30,M0_40,M0_50,M4_19,M4_24,M4_30,M4_40,M4_50,M5_19,M5_24,M5_30,M5_40,M5_50,M6_19,M6_24,M6_30,M6_40,M6_50,M7_19,M7_24,M7_30,M7_40,M7_50,M8_19,M8_24,M8_30,M8_40,M8_50,M9_19,M9_24,M9_30,M9_40,M9_50
22397_22400,441,452,0,0,0,441,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22398_22399,667,699,0,0,0,667,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22398_22416,446,453,160,136,180,446,453,160,136,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22398_23884,221,245,193,147,220,221,245,193,147,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22399_22373,0,0,24,29,31,0,0,24,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22399_22400,641,670,0,0,0,641,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22402_24351,0,0,45,69,99,0,0,45,69,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22402_24352,0,0,53,69,107,0,0,0,0,0,0,0,53,69,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22402_25428,0,0,48,74,106,0,0,48,74,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22403_22255,0,0,15,30,43,0,0,15,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22404_24290,0,0,78,108,173,0,0,0,0,0,0,0,78,108,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22404_25482,0,0,78,108,173,0,0,0,0,0,0,0,78,108,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22405_24290,0,0,78,108,173,0,0,0,0,0,0,0,78,108,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22405_25607,0,0,78,108,173,0,0,0,0,0,0,0,78,108,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22406_24121,0,0,86,117,184,0,0,0,0,0,0,0,86,117,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22406_25608,0,0,86,117,184,0,0,0,0,0,0,0,86,117,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22407_22256,0,0,15,30,43,0,0,15,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22409_24097,18,12,123,158,229,18,12,0,0,0,0,0,123,158,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22409_24121,0,0,86,117,184,0,0,0,0,0,0,0,86,117,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
